Id,Number of Records,Petal Length Cm,Petal Width Cm,Sepal Length Cm & Sepal Width Cm (clusters),Sepal Length Cm,Sepal Width Cm,Species
51,1,4.7,1.4,Cluster 4,7,3.2,Iris-versicolor
52,1,4.5,1.5,Cluster 5,6.4,3.2,Iris-versicolor
53,1,4.9,1.5,Cluster 5,6.9,3.1,Iris-versicolor
54,1,4,1.3,Cluster 3,5.5,2.3,Iris-versicolor
55,1,4.6,1.5,Cluster 5,6.5,2.8,Iris-versicolor
56,1,4.5,1.3,Cluster 3,5.7,2.8,Iris-versicolor
57,1,4.7,1.6,Cluster 5,6.3,3.3,Iris-versicolor
58,1,3.3,1,Cluster 3,4.9,2.4,Iris-versicolor
59,1,4.6,1.3,Cluster 5,6.6,2.9,Iris-versicolor
60,1,3.9,1.4,Cluster 3,5.2,2.7,Iris-versicolor
61,1,3.5,1,Cluster 3,5,2,Iris-versicolor
62,1,4.2,1.5,Cluster 5,5.9,3,Iris-versicolor
63,1,4,1,Cluster 3,6,2.2,Iris-versicolor
64,1,4.7,1.4,Cluster 5,6.1,2.9,Iris-versicolor
65,1,3.6,1.3,Cluster 3,5.6,2.9,Iris-versicolor
66,1,4.4,1.4,Cluster 5,6.7,3.1,Iris-versicolor
67,1,4.5,1.5,Cluster 3,5.6,3,Iris-versicolor
68,1,4.1,1,Cluster 3,5.8,2.7,Iris-versicolor
69,1,4.5,1.5,Cluster 3,6.2,2.2,Iris-versicolor
70,1,3.9,1.1,Cluster 3,5.6,2.5,Iris-versicolor
71,1,4.8,1.8,Cluster 5,5.9,3.2,Iris-versicolor
72,1,4,1.3,Cluster 5,6.1,2.8,Iris-versicolor
73,1,4.9,1.5,Cluster 3,6.3,2.5,Iris-versicolor
74,1,4.7,1.2,Cluster 5,6.1,2.8,Iris-versicolor
75,1,4.3,1.3,Cluster 5,6.4,2.9,Iris-versicolor
76,1,4.4,1.4,Cluster 5,6.6,3,Iris-versicolor
77,1,4.8,1.4,Cluster 5,6.8,2.8,Iris-versicolor
78,1,5,1.7,Cluster 5,6.7,3,Iris-versicolor
79,1,4.5,1.5,Cluster 5,6,2.9,Iris-versicolor
80,1,3.5,1,Cluster 3,5.7,2.6,Iris-versicolor
81,1,3.8,1.1,Cluster 3,5.5,2.4,Iris-versicolor
82,1,3.7,1,Cluster 3,5.5,2.4,Iris-versicolor
83,1,3.9,1.2,Cluster 3,5.8,2.7,Iris-versicolor
84,1,5.1,1.6,Cluster 3,6,2.7,Iris-versicolor
85,1,4.5,1.5,Cluster 3,5.4,3,Iris-versicolor
86,1,4.5,1.6,Cluster 5,6,3.4,Iris-versicolor
87,1,4.7,1.5,Cluster 5,6.7,3.1,Iris-versicolor
88,1,4.4,1.3,Cluster 3,6.3,2.3,Iris-versicolor
89,1,4.1,1.3,Cluster 3,5.6,3,Iris-versicolor
90,1,4,1.3,Cluster 3,5.5,2.5,Iris-versicolor
91,1,4.4,1.2,Cluster 3,5.5,2.6,Iris-versicolor
92,1,4.6,1.4,Cluster 5,6.1,3,Iris-versicolor
93,1,4,1.2,Cluster 3,5.8,2.6,Iris-versicolor
94,1,3.3,1,Cluster 3,5,2.3,Iris-versicolor
95,1,4.2,1.3,Cluster 3,5.6,2.7,Iris-versicolor
96,1,4.2,1.2,Cluster 3,5.7,3,Iris-versicolor
97,1,4.2,1.3,Cluster 3,5.7,2.9,Iris-versicolor
98,1,4.3,1.3,Cluster 5,6.2,2.9,Iris-versicolor
99,1,3,1.1,Cluster 3,5.1,2.5,Iris-versicolor
100,1,4.1,1.3,Cluster 3,5.7,2.8,Iris-versicolor
